Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2018,7,MCO,31454,REC,34496,AD,3987,96,18.0,0,1858791.0,4824.0,4427.0,340039.0,0,0,0,3
2018,3,MCO,31454,REC,34496,AD,3987,96,17.0,0,1756847.0,4556.0,3663.0,312277.0,0,0,0,1
2018,2,MCO,31454,REC,34496,AD,3987,96,17.0,0,1730832.0,4556.0,4220.0,367301.0,0,0,0,1
2018,1,MCO,31454,REC,34496,AD,3987,96,17.0,0,1752511.0,4556.0,4427.0,401746.0,0,0,0,1
2018,9,MCO,31454,REC,34496,AD,3987,96,13.0,0,1332010.0,3523.0,2999.0,254654.0,0,0,0,3
2018,8,MCO,31454,REC,34496,AD,3987,96,18.0,0,1836067.0,4824.0,3901.0,354649.0,0,0,0,3
2018,8,MCO,31454,REC,34496,AD,3987,96,1.0,0,100749.0,268.0,212.0,23529.0,0,0,0,3
2018,4,MCO,31454,REC,34496,AD,3987,96,18.0,0,1850867.0,4824.0,4098.0,364575.0,0,0,0,2
2018,9,MCO,31454,VCP,30966,AD,4207,96,30.0,0,3045783.0,8101.0,7292.0,808982.0,0,0,0,3
2017,10,MCO,31454,VCP,30966,AD,4207,96,31.0,0,2146659.0,5899.0,5734.0,682213.0,0,0,0,4
2018,7,MCO,31454,VCP,30966,AD,4207,96,27.0,0,2713812.0,7178.0,6913.0,785017.0,0,0,0,3
2018,7,MCO,31454,VCP,30966,AD,4207,96,4.0,0,278223.0,1072.0,864.0,59798.0,0,0,0,3
2018,6,MCO,31454,VCP,30966,AD,4207,96,30.0,0,3065236.0,8040.0,7391.0,866833.0,0,0,0,2
2018,5,MCO,31454,VCP,30966,AD,4207,96,27.0,0,2598218.0,7236.0,7077.0,791751.0,0,0,0,2
2018,5,MCO,31454,VCP,30966,AD,4207,96,5.0,0,306262.0,1020.0,983.0,69397.0,0,0,0,2
2018,4,MCO,31454,VCP,30966,AD,4207,96,30.0,0,3014539.0,8040.0,7293.0,858051.0,0,0,0,2
2018,3,MCO,31454,VCP,30966,AD,4207,96,31.0,0,3127593.0,8308.0,7584.0,892074.0,0,0,0,1
2018,2,MCO,31454,VCP,30966,AD,4207,96,28.0,0,2265237.0,6106.0,5918.0,681633.0,0,0,0,1
2018,2,MCO,31454,VCP,30966,AD,4207,96,8.0,0,824998.0,2144.0,1929.0,213561.0,0,0,0,1
2018,1,MCO,31454,VCP,30966,AD,4207,96,31.0,0,2337322.0,6164.0,6009.0,697864.0,0,0,0,1
2018,1,MCO,31454,VCP,30966,AD,4207,96,13.0,0,1261856.0,3487.0,3173.0,341288.0,0,0,0,1
2018,8,MCO,31454,VCP,30966,AD,4207,96,31.0,0,3106972.0,8308.0,7059.0,822182.0,0,0,0,3
2017,12,MCO,31454,VCP,30966,AD,4207,96,30.0,0,2228316.0,5855.0,5468.0,669352.0,0,0,0,4
2017,12,MCO,31454,VCP,30966,AD,4207,96,12.0,0,1210546.0,3187.0,2490.0,302694.0,0,0,0,4
2017,11,MCO,31454,VCP,30966,AD,4207,96,29.0,0,2921934.0,5578.0,5172.0,668065.0,0,0,0,4
2018,7,REC,34496,FLL,32467,AD,3841,96,13.0,0,1327550.0,3455.0,2919.0,278799.0,0,0,0,3
2018,8,REC,34496,FLL,32467,AD,3841,96,9.0,0,921208.0,2412.0,1997.0,134455.0,0,0,0,3
2018,6,REC,34496,FLL,32467,AD,3841,96,13.0,0,1320693.0,3484.0,2532.0,185887.0,0,0,0,2
2018,5,REC,34496,FLL,32467,AD,3841,96,4.0,0,410621.0,1072.0,864.0,99108.0,0,0,0,2
2018,9,REC,34496,FLL,32467,AD,3841,96,5.0,0,505399.0,1355.0,852.0,49366.0,0,0,0,3
2018,3,REC,34496,MCO,31454,AD,3987,96,18.0,0,1857577.0,4824.0,3899.0,362039.0,0,0,0,1
2017,10,REC,34496,MCO,31454,AD,3987,96,18.0,0,1859018.0,4822.0,4177.0,215065.0,0,0,0,4
2018,7,REC,34496,MCO,31454,AD,3987,96,18.0,0,1862302.0,4824.0,4114.0,314582.0,0,0,0,3
2018,9,REC,34496,MCO,31454,AD,3987,96,13.0,0,1324620.0,3523.0,2840.0,129919.0,0,0,0,3
2017,11,REC,34496,MCO,31454,AD,3987,96,17.0,0,1639737.0,4519.0,4072.0,280821.0,0,0,0,4
2018,5,REC,34496,MCO,31454,AD,3987,96,14.0,0,1427345.0,3752.0,3137.0,267575.0,0,0,0,2
2017,12,REC,34496,MCO,31454,AD,3987,96,16.0,0,1628530.0,4284.0,3939.0,240253.0,0,0,0,4
2018,6,REC,34496,MCO,31454,AD,3987,96,17.0,0,1758869.0,4556.0,3698.0,168133.0,0,0,0,2
2017,12,REC,34496,MCO,31454,AD,3987,96,2.0,0,204398.0,539.0,438.0,15838.0,0,0,0,4
2018,2,REC,34496,MCO,31454,AD,3987,96,17.0,0,1748571.0,4556.0,3491.0,343402.0,0,0,0,1
2018,1,REC,34496,MCO,31454,AD,3987,96,17.0,0,1746582.0,4556.0,4182.0,319964.0,0,0,0,1
2018,8,REC,34496,MCO,31454,AD,3987,96,17.0,0,1735488.0,4556.0,3506.0,254498.0,0,0,0,3
2018,4,REC,34496,MCO,31454,AD,3987,96,17.0,0,1749735.0,4556.0,3958.0,365955.0,0,0,0,2
2018,5,VCP,30966,FLL,32467,AD,4034,96,33.0,0,3321034.0,8525.0,8259.0,1117954.0,0,0,0,2
2018,5,VCP,30966,FLL,32467,AD,4034,96,4.0,0,306060.0,1043.0,863.0,33801.0,0,0,0,2
2017,11,VCP,30966,FLL,32467,AD,4034,96,30.0,0,2609273.0,7454.0,7044.0,980034.0,0,0,0,4
2017,12,VCP,30966,FLL,32467,AD,4034,96,5.0,0,492369.0,1224.0,1177.0,118195.0,0,0,0,4
2017,12,VCP,30966,FLL,32467,AD,4034,96,50.0,0,4904449.0,12555.0,11958.0,1541441.0,0,0,0,4
2018,8,VCP,30966,FLL,32467,AD,4034,96,39.0,0,3896389.0,9843.0,9389.0,1253496.0,0,0,0,3
2018,6,VCP,30966,FLL,32467,AD,4034,96,5.0,0,506966.0,1311.0,1077.0,46827.0,0,0,0,2
2018,6,VCP,30966,FLL,32467,AD,4034,96,38.0,0,3836826.0,9836.0,8551.0,1589515.0,0,0,0,2
2017,10,VCP,30966,FLL,32467,AD,4034,96,28.0,0,2571923.0,7180.0,6686.0,911145.0,0,0,0,4
2018,3,VCP,30966,FLL,32467,AD,4034,96,44.0,0,4403674.0,11038.0,10137.0,1720418.0,0,0,0,1
2018,7,VCP,30966,FLL,32467,AD,4034,96,44.0,0,4417576.0,11183.0,10703.0,1789960.0,0,0,0,3
2018,7,VCP,30966,FLL,32467,AD,4034,96,1.0,0,101006.0,268.0,240.0,9077.0,0,0,0,3
2018,2,VCP,30966,FLL,32467,AD,4034,96,42.0,0,4205967.0,10444.0,7771.0,1372210.0,0,0,0,1
2018,2,VCP,30966,FLL,32467,AD,4034,96,3.0,0,205867.0,536.0,244.0,47436.0,0,0,0,1
2018,4,VCP,30966,FLL,32467,AD,4034,96,44.0,0,4461541.0,11444.0,10943.0,1738497.0,0,0,0,2
2018,1,VCP,30966,FLL,32467,AD,4034,96,5.0,0,490417.0,1197.0,1095.0,124584.0,0,0,0,1
2018,1,VCP,30966,FLL,32467,AD,4034,96,48.0,0,4713579.0,12110.0,11387.0,1552877.0,0,0,0,1
2018,9,VCP,30966,FLL,32467,AD,4034,96,31.0,0,3060770.0,7937.0,7360.0,1287147.0,0,0,0,3
2017,10,VCP,30966,FLL,32467,AD,4034,96,2.0,0,183709.0,510.0,366.0,88583.0,0,0,0,4
2018,7,VCP,30966,MCO,31454,AD,4207,96,2.0,0,100749.0,268.0,208.0,7759.0,0,0,0,3
2018,6,VCP,30966,MCO,31454,AD,4207,96,30.0,0,3087704.0,8040.0,7044.0,1131315.0,0,0,0,2
2017,10,VCP,30966,MCO,31454,AD,4207,96,31.0,0,3186828.0,8304.0,7521.0,509881.0,0,0,0,4
2018,2,VCP,30966,MCO,31454,AD,4207,96,7.0,0,728165.0,1876.0,1418.0,156939.0,0,0,0,1
2018,2,VCP,30966,MCO,31454,AD,4207,96,28.0,0,2855028.0,7446.0,5572.0,623014.0,0,0,0,1
2018,8,VCP,30966,MCO,31454,AD,4207,96,31.0,0,3171876.0,8308.0,7029.0,853567.0,0,0,0,3
2018,9,VCP,30966,MCO,31454,AD,4207,96,30.0,0,2970264.0,8130.0,6915.0,1276392.0,0,0,0,3
2018,5,VCP,30966,MCO,31454,AD,4207,96,1.0,0,104304.0,268.0,201.0,6644.0,0,0,0,2
2018,5,VCP,30966,MCO,31454,AD,4207,96,26.0,0,2655640.0,6968.0,6649.0,750748.0,0,0,0,2
2018,1,VCP,30966,MCO,31454,AD,4207,96,31.0,0,3182122.0,8309.0,7736.0,536857.0,0,0,0,1
2018,1,VCP,30966,MCO,31454,AD,4207,96,13.0,0,1229730.0,3484.0,3143.0,277508.0,0,0,0,1
2017,12,VCP,30966,MCO,31454,AD,4207,96,30.0,0,3058286.0,7997.0,7509.0,1167899.0,0,0,0,4
2017,12,VCP,30966,MCO,31454,AD,4207,96,12.0,0,1111114.0,3210.0,2991.0,274056.0,0,0,0,4
2018,3,VCP,30966,MCO,31454,AD,4207,96,31.0,0,3187263.0,8289.0,7402.0,1162412.0,0,0,0,1
2017,11,VCP,30966,MCO,31454,AD,4207,96,30.0,0,3022690.0,7997.0,7144.0,877158.0,0,0,0,4
2018,7,VCP,30966,MCO,31454,AD,4207,96,28.0,0,2852142.0,7446.0,7008.0,1069781.0,0,0,0,3
2018,4,VCP,30966,MCO,31454,AD,4207,96,30.0,0,3060743.0,8040.0,7879.0,1111092.0,0,0,0,2
2019,1,AMA,30279,BVB,30808,AD,3444,96,2.0,0,68677.0,0.0,0.0,0.0,0,0,0,1
2018,11,BEL,30545,FLL,32467,AD,2835,96,13.0,0,449827.0,2262.0,1902.0,68638.0,0,0,0,4
